time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
343,0.815097,68.969727,0.818399,482.788086,0.496980,9.765625,1.042115,38.146973,1.797461,1.045227,0.838474,40.588379,0.501888,7.324219,1.046384,0.073242,3.292042,0.000000,3.293196,3.112793,3.285814,19.233704,0.836069,134.582520,1.790811,92.529297,1.796677,2.258301,1.798749,1.068115,1.791092,0.288086,831.052538,847.282283,46.485606
351,0.818601,51.879883,0.815381,500.488281,0.499864,14.343262,1.041114,40.588379,1.797757,2.746582,0.841144,66.528320,0.506279,7.629395,1.045954,-0.158691,3.286674,-0.030518,3.285872,3.112793,3.283833,19.302368,0.832184,132.446289,1.790417,90.637207,1.791333,1.983643,1.791955,0.640869,1.791345,0.116272,846.306360,861.136070,54.364496
358,0.816721,37.231445,0.814786,424.194336,0.500414,8.239746,1.041569,43.945312,1.790515,2.540588,0.832032,50.048828,0.495589,2.441406,1.041923,0.341797,3.288649,-0.244141,3.289696,3.936768,3.283885,19.172668,0.836573,133.056641,1.793274,92.102051,1.797195,1.953125,1.797345,0.457764,1.798254,0.108948,758.876118,775.356898,54.444301
366,0.815525,81.176758,0.814267,430.297852,0.495552,6.103516,1.038126,46.386719,1.793500,2.403259,0.838172,70.800781,0.496947,13.122559,1.040067,-0.048828,3.289546,0.549316,3.288688,4.241943,3.284065,19.943237,0.832172,133.666992,1.792325,91.552734,1.790921,1.220703,1.791998,0.213623,1.790469,0.155029,823.491378,841.817805,55.490122
373,0.816611,59.204102,0.815103,458.374023,0.495570,4.272461,1.044160,28.991699,1.793994,2.388000,0.833909,57.678223,0.500935,4.882812,1.039985,0.280762,3.284257,-0.274658,3.283464,2.777100,3.275990,19.378662,0.826349,130.004883,1.793298,91.613770,1.794842,1.068115,1.792996,0.000000,1.796277,0.111389,808.209930,818.343487,36.673325
381,0.812610,78.125000,0.812235,446.166992,0.494545,9.155273,1.036768,35.705566,1.790640,2.227783,0.831421,62.255859,0.492613,7.019043,1.040049,0.024414,3.285167,0.396729,3.283879,3.509521,3.281453,19.149780,0.834601,134.887695,1.790292,93.139648,1.796115,2.990723,1.795325,1.129150,1.794318,0.112000,823.486112,843.713148,45.535246
388,0.819858,93.383789,0.818396,483.398438,0.502849,8.850098,1.044019,43.029785,1.794330,1.548767,0.837968,42.419434,0.503850,6.408691,1.046329,0.292969,3.290474,1.037598,3.287205,4.425049,3.275627,19.065857,0.830719,132.446289,1.787979,90.576172,1.796640,2.624512,1.793918,0.549316,1.793872,0.107727,845.874511,869.535474,52.153184
396,0.819376,92.163086,0.815680,440.673828,0.497053,2.441406,1.037482,61.950684,1.792569,2.288818,0.831278,76.599121,0.496083,1.831055,1.042469,0.109863,3.294908,0.640869,3.289192,4.089355,3.277800,19.737244,0.834604,134.582520,1.790350,91.979980,1.794723,2.258301,1.794858,0.915527,1.793903,0.104675,841.545235,862.803782,69.589110
403,0.815131,62.255859,0.817127,444.335938,0.496974,10.375977,1.042176,32.043457,1.795523,2.227783,0.842097,68.969727,0.498955,7.629395,1.045420,0.024414,3.291023,0.427246,3.289137,4.638672,3.284645,19.714355,0.838026,134.277344,1.789374,91.979980,1.791806,2.136230,1.793387,0.976562,1.785501,0.114746,817.810808,840.053177,42.551548
410,0.820041,56.762695,0.819947,466.308594,0.502373,7.629395,1.045499,41.503906,1.797043,2.090454,0.840855,46.691895,0.502400,4.882812,1.049744,0.305176,3.291020,0.457764,3.291118,4.364014,3.280681,19.859314,0.838065,130.310059,1.781527,92.651367,1.790378,1.770020,1.790469,0.854492,1.789001,0.106506,810.542370,831.110307,50.981743
417,0.819672,32.958984,0.816184,437.622070,0.494530,10.681152,1.042045,45.166016,1.790903,2.792358,0.835233,71.716309,0.501369,10.375977,1.041538,-0.073242,3.291026,0.396729,3.289241,3.601074,3.279933,19.287109,0.830246,130.920410,1.788898,91.735840,1.791397,1.342773,1.792950,0.457764,1.788559,0.150757,785.553612,801.930244,57.347996
424,0.812100,82.397461,0.816953,479.125977,0.494578,5.798340,1.041395,61.340332,1.792273,1.808167,0.835312,63.781738,0.497990,6.408691,1.040421,0.488281,3.287654,-0.061035,3.282371,3.936768,3.282454,19.088745,0.830732,131.225586,1.789438,90.698242,1.792923,0.732422,1.792480,0.274658,1.791357,0.115051,849.491624,864.018389,69.987957
432,0.822333,86.669922,0.822049,436.401367,0.500917,6.713867,1.045011,41.503906,1.791733,1.937866,0.834781,68.054199,0.498479,6.408691,1.041041,-0.036621,3.285219,-0.122070,3.288301,3.234863,3.276063,19.195557,0.830274,128.173828,1.788956,90.576172,1.795261,1.770020,1.795386,0.518799,1.790997,0.151062,821.594393,835.939659,50.207270
440,0.821341,89.721680,0.822922,457.153320,0.502852,8.544922,1.045512,40.283203,1.795950,2.380371,0.834815,64.697266,0.496507,8.239746,1.038993,0.341797,3.283262,-0.091553,3.291203,3.509521,3.284221,19.554138,0.828791,130.004883,1.792798,91.857910,1.793698,2.746582,1.791440,0.915527,1.794842,0.108337,845.194231,863.010838,50.688413
447,0.816974,84.228516,0.818830,494.384766,0.498387,15.563965,1.042542,44.250488,1.790628,2.258301,0.831440,60.424805,0.495995,10.681152,1.043958,0.012207,3.291981,0.610352,3.296950,4.638672,3.282316,19.432068,0.839948,137.329102,1.793314,91.308594,1.794675,2.746582,1.794339,1.220703,1.793317,0.260925,872.523933,896.946243,57.933656
455,0.819367,93.994141,0.816495,473.022461,0.498958,7.324219,1.043085,38.757324,1.788290,4.440308,0.833057,45.166016,0.497496,7.019043,1.039524,0.170898,3.287175,-0.152588,3.294231,2.532959,3.284230,19.531250,0.834116,134.582520,1.790845,91.857910,1.790283,2.716064,1.794852,0.976562,1.791373,0.113525,845.640819,860.098696,52.022233
463,0.821851,85.449219,0.819098,440.673828,0.500404,9.155273,1.046458,43.334961,1.793683,1.945496,0.836234,69.274902,0.499416,10.375977,1.045948,-0.134277,3.294945,0.274658,3.293034,4.730225,3.280690,19.836426,0.833634,133.972168,1.790347,92.041016,1.795306,1.312256,1.792056,-0.366211,1.791464,0.250854,836.148863,854.330269,53.419141
470,0.821534,51.269531,0.816861,497.436523,0.499879,12.817383,1.041563,44.555664,1.797107,1.930237,0.837681,71.105957,0.496980,9.765625,1.046918,-0.109863,3.287150,0.091553,3.290211,3.662109,3.283604,19.874573,0.836106,130.920410,1.789886,91.491699,1.792746,2.502441,1.788022,0.915527,1.787890,0.119934,851.456390,869.929676,56.283498
477,0.815048,78.735352,0.814740,433.349609,0.495579,3.356934,1.041682,32.653809,1.791556,2.380371,0.831824,70.800781,0.494984,14.038086,1.039524,0.170898,3.285667,0.274658,3.284303,4.150391,3.281181,19.828796,0.833164,132.141113,1.789374,91.979980,1.799191,1.525879,1.790997,0.457764,1.790399,0.113220,823.206941,841.305719,39.943065
484,0.816959,87.280273,0.816449,482.177734,0.495534,7.934570,1.041065,45.471191,1.792120,9.513855,0.836793,62.255859,0.500444,5.187988,1.044309,0.561523,3.284730,-0.122070,3.288252,3.723145,3.278822,19.622803,0.834620,133.056641,1.786478,91.308594,1.794675,2.746582,1.791858,1.617432,1.791397,0.111084,858.967110,878.636208,68.320289
492,0.821506,56.762695,0.818616,439.453125,0.503297,12.817383,1.047456,41.198730,1.790237,13.000488,0.835279,67.138672,0.496999,7.934570,1.043510,-0.146484,3.284193,0.366211,3.279432,4.028320,3.278514,19.172668,0.829737,133.056641,1.792816,91.491699,1.795178,2.593994,1.795831,0.946045,1.792898,0.107422,803.724643,824.493573,72.878756
499,0.823444,59.814453,0.821100,430.908203,0.502358,9.155273,1.047935,42.114258,1.800659,1.594543,0.839283,57.373047,0.502351,9.765625,1.046439,-0.146484,3.283702,0.396729,3.284862,3.448486,3.280922,19.256592,0.833155,133.056641,1.786990,90.820312,1.794131,3.295898,1.795273,1.647949,1.795309,0.159302,792.594528,814.096859,51.603442
507,0.824353,73.242188,0.820728,505.371094,0.503301,12.512207,1.047459,40.893555,1.786694,13.313293,0.834446,52.795410,0.498531,1.220703,1.044831,0.427246,3.294014,-0.183105,3.292750,2.685547,3.284367,19.187927,0.834662,128.784180,1.791898,90.332031,1.792819,1.770020,1.796838,0.640869,1.792828,0.114441,852.841893,865.406439,72.918491
514,0.818970,75.683594,0.821854,475.463867,0.502892,4.577637,1.043198,27.465820,1.793390,1.457214,0.830457,61.035156,0.497017,6.103516,1.039460,0.427246,3.288640,-0.152588,3.289787,3.021240,3.282326,19.409180,0.836094,132.141113,1.794751,91.857910,1.797620,2.593994,1.798245,1.220703,1.795779,0.112305,846.162557,862.458126,33.567705
523,0.822327,87.890625,0.820627,427.856445,0.501408,6.408691,1.048389,45.471191,1.795242,1.708984,0.833591,40.588379,0.495503,10.986328,1.041492,0.109863,3.290501,0.762939,3.291026,5.279541,3.283311,19.386292,0.833652,132.141113,1.782513,92.468262,1.792697,2.990723,1.793335,1.495361,1.791531,0.146484,801.677061,829.605765,53.952929
530,0.823911,64.086914,0.820975,455.932617,0.497462,10.375977,1.046964,41.503906,1.795773,1.602173,0.837519,38.452148,0.500389,10.681152,1.045411,0.061035,3.286168,0.152588,3.288353,2.716064,3.279445,19.287109,0.835605,132.141113,1.787952,91.125488,1.794641,3.082275,1.790903,1.403809,1.788931,0.113525,801.524052,819.002522,51.491903
538,0.815534,79.345703,0.815985,477.294922,0.494563,7.324219,1.044059,39.062500,1.792343,1.632690,0.833909,57.678223,0.494075,7.324219,1.039420,0.585938,3.295427,0.335693,3.289192,4.089355,3.280253,19.706726,0.836100,131.530762,1.792313,91.796875,1.794818,1.312256,1.796869,0.335693,1.790808,0.169983,845.949892,863.465277,47.332181
545,0.820029,59.204102,0.817429,481.567383,0.495515,9.765625,1.041559,44.860840,1.794705,1.831055,0.839179,67.749023,0.497969,8.544922,1.047318,0.244141,3.288112,0.244141,3.287761,3.753662,3.280818,19.515991,0.834138,132.446289,1.788901,91.674805,1.795224,2.136230,1.792425,0.823975,1.794858,0.106812,842.256196,860.712026,54.850454
553,0.813498,95.825195,0.811792,437.011719,0.493596,6.408691,1.040247,29.602051,1.794565,2.182007,0.837018,39.672852,0.497502,6.408691,1.045853,0.244141,3.287041,1.190186,3.289070,5.310059,3.278834,19.592285,0.832691,130.615234,1.784479,92.224121,1.791849,1.708984,1.791473,0.579834,1.790069,0.243835,807.377337,832.855678,37.872506
560,0.817859,102.539062,0.815927,488.891602,0.500453,4.272461,1.042078,41.809082,1.789200,2.166748,0.831818,71.411133,0.496956,12.207031,1.046943,-0.207520,3.288161,-0.244141,3.296648,2.777100,3.286699,19.462585,0.838532,132.446289,1.787411,92.163086,1.793265,2.197266,1.795868,0.579834,1.790912,0.110779,887.972602,901.306531,49.583248
567,0.821436,70.800781,0.826755,471.801758,0.501918,4.272461,1.047044,33.569336,1.791577,12.092590,0.838379,50.048828,0.498927,10.375977,1.046406,-0.012207,3.288176,-0.396729,3.290761,3.051758,3.277061,19.142151,0.832209,130.004883,1.789914,90.942383,1.795767,1.586914,1.795871,0.549316,1.795837,0.106506,829.238359,841.812680,58.957790
