time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
348,0.821500,155.639648,0.871415,621.948242,0.501900,6.103516,1.047526,34.179688,1.792612,2.182007,0.838251,62.866211,0.499477,4.272461,1.044858,0.317383,3.287068,0.915527,3.283778,4.516602,3.278316,19.668579,0.829203,137.634277,1.790338,92.224121,1.795297,1.403809,1.796393,0.213623,1.790985,0.249939,1069.163012,1089.907935,42.778947
356,0.818387,94.604492,0.867329,657.958984,0.499904,10.375977,1.042579,40.588379,1.795550,2.159119,0.835297,65.307617,0.500963,2.136230,1.042451,0.183105,3.285118,0.885010,3.289583,5.065918,3.280711,19.783020,0.834614,133.666992,1.791821,91.857910,1.795822,1.037598,1.795444,-0.061035,1.789850,0.119324,1045.171487,1066.497360,51.380380
363,0.820798,100.708008,0.868132,595.092773,0.501378,9.460449,1.047373,49.438477,1.794733,1.762390,0.835560,87.890625,0.495515,9.765625,1.043897,0.256348,3.283659,0.823975,3.286198,4.730225,3.279277,19.706726,0.832642,135.498047,1.790277,93.444824,1.794638,3.112793,1.792325,1.831055,1.789737,0.130615,1022.795322,1049.913611,59.686813
370,0.814984,91.552734,0.863404,661.621094,0.496034,6.713867,1.037192,42.114258,1.796298,2.731323,0.835056,89.416504,0.499959,4.882812,1.043403,0.280762,3.285719,-0.244141,3.281074,2.258301,3.279512,19.119263,0.829245,133.361816,1.790378,91.430664,1.789886,1.800537,1.790051,0.152588,1.790414,0.209351,1060.624297,1070.727669,51.917164
378,0.816587,64.086914,0.865589,615.234375,0.493074,9.765625,1.036793,33.264160,1.791812,1.739502,0.835084,86.669922,0.497539,2.746582,1.040433,0.439453,3.283775,-0.335693,3.285844,3.387451,3.279912,19.340515,0.832587,140.991211,1.788818,93.322754,1.794153,3.082275,1.795291,1.464844,1.789392,0.116272,1007.041420,1025.229610,42.420069
385,0.818943,81.176758,0.870762,654.907227,0.498976,5.493164,1.045072,35.400391,1.793387,1.464844,0.834781,68.054199,0.496013,8.850098,1.035599,0.244141,3.287654,-0.061035,3.290242,3.356934,3.282426,19.157410,0.838932,141.296387,1.789844,92.346191,1.794330,1.312256,1.790515,0.396729,1.790417,0.111389,1045.106068,1059.015497,42.363950
393,0.819409,85.449219,0.868266,665.893555,0.495583,3.051758,1.042567,41.809082,1.792819,1.663208,0.836841,57.373047,0.498952,7.934570,1.040531,0.048828,3.291078,-0.122070,3.291698,3.448486,3.277455,19.378662,0.835526,140.075684,1.786868,93.261719,1.794293,1.678467,1.793414,0.701904,1.788998,0.155640,1047.686869,1062.906967,48.082980
400,0.820630,134.277344,0.869847,642.700195,0.502794,14.343262,1.045924,47.912598,1.796298,2.731323,0.835737,70.190430,0.502431,1.831055,1.046342,0.244141,3.292052,-0.091553,3.288725,3.875732,3.280256,19.699097,0.836078,133.666992,1.792306,91.918945,1.792251,2.563477,1.791421,1.098633,1.791751,0.222168,1070.598004,1089.605335,62.230891
407,0.818570,57.983398,0.868388,641.479492,0.497481,8.544922,1.043067,40.588379,1.794238,1.777649,0.838883,97.351074,0.501875,8.544922,1.042359,0.549316,3.285249,-0.427246,3.287834,3.021240,3.276072,19.172668,0.832633,136.413574,1.792233,93.383789,1.794238,2.227783,1.795410,0.274658,1.797742,0.111389,1035.003040,1048.023064,49.776861
414,0.813565,82.397461,0.863252,594.482422,0.492155,3.967285,1.036786,33.874512,1.791223,1.991272,0.834549,91.247559,0.497527,3.967285,1.044913,0.097656,3.293025,-0.061035,3.291633,4.089355,3.282793,19.462585,0.835550,137.634277,1.792715,93.505859,1.795651,2.746582,1.795309,1.281738,1.797208,0.115967,1005.180005,1025.672694,40.639968
421,0.815921,99.487305,0.864576,622.558594,0.495067,5.798340,1.042991,48.217773,1.800891,2.235413,0.836335,59.204102,0.494563,7.324219,1.043030,-0.183105,3.287135,0.244141,3.285676,5.065918,3.281401,19.279480,0.828693,139.770508,1.784979,91.979980,1.795325,1.129150,1.794464,-0.030518,1.788809,0.223389,1016.041421,1035.461340,57.186993
429,0.826365,61.645508,0.870689,669.555664,0.502400,4.882812,1.050968,31.738281,1.795737,1.693726,0.838422,94.604492,0.501408,6.408691,1.041059,-0.109863,3.293462,0.457764,3.294044,4.394531,3.282234,19.638062,0.841410,137.634277,1.791760,93.078613,1.795721,2.044678,1.799274,0.701904,1.796832,0.104675,1063.560121,1084.478119,38.850535
437,0.820859,88.500977,0.865403,652.465820,0.500484,1.220703,1.045496,41.809082,1.793246,1.815796,0.835325,62.561035,0.495998,10.375977,1.046430,-0.109863,3.292500,0.305176,3.286744,4.150391,3.282796,19.454956,0.834540,140.991211,1.787878,92.590332,1.794846,1.037598,1.791550,-0.183105,1.793304,0.115662,1041.860314,1058.040664,47.578352
444,0.820902,79.956055,0.871324,640.258789,0.500423,7.324219,1.045930,47.302246,1.798499,2.113342,0.835557,88.195801,0.499965,4.272461,1.043357,0.463867,3.294969,0.030518,3.298576,3.021240,3.289201,19.309998,0.841907,136.718750,1.787869,92.773438,1.788998,0.915527,1.791510,0.213623,1.791983,0.150146,1044.576236,1056.663167,56.940870
451,0.821274,103.149414,0.870671,673.217773,0.503304,12.207031,1.049027,30.517578,1.791046,7.316589,0.835755,68.359375,0.499431,8.850098,1.045383,0.170898,3.288627,-0.030518,3.287764,3.723145,3.279915,19.332886,0.833643,133.056641,1.789880,91.613770,1.793414,0.701904,1.795929,-0.030518,1.787530,0.107117,1071.096400,1084.440857,51.261962
459,0.821427,72.631836,0.869813,649.414062,0.499968,3.967285,1.042219,27.770996,1.794818,1.548767,0.834681,78.125000,0.496532,5.798340,1.045304,0.488281,3.285158,0.488281,3.291072,4.821777,3.278956,19.287109,0.833118,136.718750,1.788376,92.407227,1.794864,0.854492,1.793030,-0.335693,1.794287,0.115051,1035.739247,1054.143933,33.706721
466,0.814578,75.073242,0.864414,654.907227,0.496999,7.934570,1.041611,39.672852,1.795660,1.884460,0.833405,59.204102,0.500432,6.408691,1.042985,0.000000,3.286122,0.610352,3.291096,4.577637,3.283171,19.737244,0.835593,133.361816,1.786890,92.834473,1.787814,2.990723,1.791391,1.403809,1.786337,0.128784,1022.164423,1047.097182,48.651014
474,0.817575,61.645508,0.866273,673.828125,0.499989,1.831055,1.038788,28.991699,1.787759,2.105713,0.828693,90.942383,0.493571,8.850098,1.039542,0.097656,3.288661,-0.366211,3.292692,3.265381,3.276951,19.416809,0.831620,140.075684,1.789361,92.224121,1.798700,1.556396,1.800818,-0.091553,1.796371,0.150757,1059.362730,1071.544902,34.796257
481,0.822379,77.514648,0.869639,684.204102,0.500508,-1.220703,1.044639,29.907227,1.792361,1.586914,0.838312,56.762695,0.503331,9.460449,1.044941,-0.012207,3.291078,-0.122070,3.292183,3.479004,3.281761,19.599915,0.835550,137.634277,1.788397,91.979980,1.794302,1.586914,1.793957,0.152588,1.788510,0.204468,1055.276000,1069.448914,33.475599
489,0.820676,418.090820,0.871403,722.045898,0.501167,30.517578,1.043439,198.669434,1.779043,27.557373,0.834525,386.657715,0.493883,26.550293,1.039979,0.305176,3.292555,-0.244141,3.290272,3.051758,3.280415,19.302368,0.842396,136.718750,1.788443,91.064453,1.794229,2.319336,1.795377,0.610352,1.792868,0.110474,1649.968542,1664.463041,271.619694
497,0.815085,462.036133,0.865379,755.004883,0.498320,22.277832,1.037482,208.435059,1.779700,39.344788,0.837101,373.229980,0.501653,30.822754,1.043467,3.930664,3.289653,-0.518799,3.291225,3.295898,3.283360,19.264221,0.841416,137.023926,1.787869,92.773438,1.792691,3.051758,1.795288,1.495361,1.787991,0.109863,1706.567708,1723.864044,297.371076
504,0.918773,1013.793945,0.866358,754.394531,0.505528,33.874512,1.042356,258.178711,1.779929,44.876099,0.838401,438.537598,0.501680,28.076172,1.045640,5.004883,3.286638,0.335693,3.283345,3.967285,3.284709,19.554138,0.836042,137.329102,1.787366,93.078613,1.792688,3.082275,1.795261,1.770020,1.790945,0.156250,2317.699628,2340.532100,366.114912
512,0.918447,493.164062,0.870036,702.514648,0.506120,23.498535,1.046891,48.828125,1.783984,20.088196,0.830637,189.514160,0.496568,2.136230,1.040934,0.390625,3.290623,-0.457764,3.290773,2.929688,3.281981,19.050598,0.834125,133.666992,1.790869,91.369629,1.798163,2.044678,1.799246,0.976562,1.796628,0.173950,1561.005036,1574.573384,98.847837
520,0.864707,498.657227,0.868324,751.953125,0.496004,9.765625,1.044016,43.334961,1.784521,19.966125,0.832331,68.969727,0.499416,10.375977,1.041041,-0.036621,3.288148,-0.122070,3.288392,2.319336,3.279854,19.485474,0.830692,135.192871,1.790271,93.566895,1.793256,2.288818,1.792380,1.281738,1.791885,0.208740,1490.778151,1504.405451,85.716164
528,0.823310,184.326172,0.871412,720.214844,0.498747,28.381348,1.042084,138.854980,1.782388,20.416260,0.835557,381.164551,0.496016,8.544922,1.039072,0.024414,3.286186,-0.030518,3.285277,4.180908,3.282432,19.142151,0.832154,135.498047,1.790317,92.651367,1.793231,2.532959,1.799728,1.037598,1.792377,0.257263,1444.034372,1464.079100,195.243428
537,0.818802,206.909180,0.867561,611.572266,0.499437,8.239746,1.044001,44.860840,1.795102,2.059937,0.833314,68.359375,0.499867,14.038086,1.044428,0.085449,3.288588,0.366211,3.288240,3.845215,3.285615,19.729614,0.833155,133.056641,1.788394,92.041016,1.796225,1.892090,1.792935,0.610352,1.792450,0.103455,1104.536833,1122.878079,54.647788
544,0.812061,90.332031,0.859910,676.879883,0.497005,7.324219,1.039704,35.095215,1.794342,1.518250,0.838590,77.819824,0.498997,3.356934,1.043397,0.305176,3.287630,0.183105,3.293046,4.608154,3.288640,19.493103,0.839948,137.329102,1.785892,93.261719,1.791443,0.885010,1.791992,0.274658,1.792325,0.115967,1068.881631,1086.736110,42.853064
551,0.821811,93.383789,0.869160,682.373047,0.497469,9.765625,1.042527,45.776367,1.795200,1.815796,0.833188,80.871582,0.497996,5.798340,1.041416,0.415039,3.286217,-0.335693,3.295219,2.410889,3.281904,19.241333,0.833631,134.277344,1.791717,93.933105,1.793201,2.838135,1.795822,1.037598,1.793359,0.110168,1084.121397,1097.915329,55.840901
